# BEAST v1.8.4
# Generated Wed Jun 21 15:28:58 BST 2017 [seed=1498055321828]
state	posterior	prior	likelihood	treeModel.rootHeight	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	transmission_rate	trans_LL	period_LL	Case27_infection_date	Case28_infection_date	Case29_infection_date	Case30_infection_date	Case37_infection_date	Case38_infection_date	Case40_infection_date	Case47_infection_date	Case52_infection_date	Case54_infection_date	Case55_infection_date	Case68_infection_date	Case81_infection_date	Case27_infectious_date	Case28_infectious_date	Case29_infectious_date	Case30_infectious_date	Case37_infectious_date	Case38_infectious_date	Case40_infectious_date	Case47_infectious_date	Case52_infectious_date	Case54_infectious_date	Case55_infectious_date	Case68_infectious_date	Case81_infectious_date	Case27_latent_period	Case28_latent_period	Case29_latent_period	Case30_latent_period	Case37_latent_period	Case38_latent_period	Case40_latent_period	Case47_latent_period	Case52_latent_period	Case54_latent_period	Case55_latent_period	Case68_latent_period	Case81_latent_period	Case27_infectious_period	Case28_infectious_period	Case29_infectious_period	Case30_infectious_period	Case37_infectious_period	Case38_infectious_period	Case40_infectious_period	Case47_infectious_period	Case52_infectious_period	Case54_infectious_period	Case55_infectious_period	Case68_infectious_period	Case81_infectious_period	Case27_infected_period	Case28_infected_period	Case29_infected_period	Case30_infected_period	Case37_infected_period	Case38_infected_period	Case40_infected_period	Case47_infected_period	Case52_infected_period	Case54_infected_period	Case55_infected_period	Case68_infected_period	Case81_infected_period	infectious_period.mean	infectious_period.median	infectious_period.var	infectious_period.stdev	latent_period.mean	latent_period.median	latent_period.var	latent_period.stdev	infected_period.mean	infected_period.median	infected_period.var	infected_period.stdev	Case27_ibp	Case28_ibp	Case29_ibp	Case30_ibp	Case37_ibp	Case38_ibp	Case40_ibp	Case47_ibp	Case52_ibp	Case54_ibp	Case55_ibp	Case68_ibp	Case81_ibp	coal_LL_0	coal_LL_1	coal_LL_2	coal_LL_3	coal_LL_4	coal_LL_5	coal_LL_6	coal_LL_7	coal_LL_8	coal_LL_9	coal_LL_10	coal_LL_11	coal_LL_12	total_coal_LL	inf1dist_LL	FirstInfectionTime	IndexCaseIndex	lat1.latPeriod	logistic.ratio	logistic.t50	logistic.growthRate
0	-5343.200531180382	-3177.230558479439	-2165.9699727009433	2401.716186017587	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0E-7	9.999999999999998E-8	-2165.9699727009433	0.0	0.05	-637.5682154199567	-274.7082887045021	3.9406545883034596	-0.35809300879350303	98.70555269764304	266.67581325736774	735.8271064154767	860.6193247801723	962.8282470976093	1243.30476550678	1779.6973939186596	1812.3380153474864	1837.7211978939063	2128.78256946471	-15.716186017587006	3.94075458830346	-0.35799300879350304	98.70565269764305	266.6759132573677	735.8272064154767	860.6194247801723	962.8283470976093	1243.30486550678	1779.6974939186596	1812.3381153474863	1837.7212978939062	2128.78266946471	-15.716086017587006	1.0000000000021103E-4	9.999999999998899E-5	1.0000000000331966E-4	9.999999997489795E-5	9.999999997489795E-5	9.999999997489795E-5	9.999999997489795E-5	9.999999997489795E-5	9.999999997489795E-5	9.999999997489795E-5	9.999999997489795E-5	1.0000000020227162E-4	9.999999999976694E-5	1.5592454116965402	0.857993008793503	0.7943473023569538	0.8240867426322893	0.6727935845233333	0.8805752198277332	0.6716529023907469	1.195134493219939	0.8025060813404252	1.1618846525136632	0.7787021060937604	0.7173305352898751	2417.216086017587	1.5593454116965404	0.858093008793503	0.7944473023569572	0.8241867426322642	0.6728935845233082	0.8806752198277081	0.6717529023907218	1.195234493219914	0.8026060813404001	1.1619846525136381	0.7788021060937353	0.7174305352900774	2417.216186017587	186.77941061986658	0.8240867426322893	449118.2649547916	670.1628644999598	1.0000000000036476E-4	9.999999997489795E-5	3.830341937704333E-27	6.188975632287086E-14	186.77951061986658	0.8241867426322642	449118.26495479187	670.16286449996	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-21.471220051309455	-21.471220051309455	0.0	-15.716186017587006	12	1.0E-4	55.598150033144236	-4.0	1.0
100	-5021.115261790854	-2896.3040893350626	-2124.8111724557916	2401.716186017587	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0E-7	1.0000000000000001E-7	-2124.8111724557916	0.0	0.034056539160728434	-458.1518539844017	-221.21368062120965	3.9406545883034596	-10.532201921269916	92.38944560239838	249.59805581628416	728.6942095686063	828.6966385403092	962.7561521678289	1243.2731390321076	1779.3390691050602	1801.014326903625	1835.5999449818078	2019.5686150336755	0.4487923918461496	3.9408038081015344	-10.53205270147184	92.38959482219646	249.59820503608222	728.6943587884044	828.6967877601073	962.756301387627	1243.2732882519056	1779.3392183248582	1801.014476123423	1835.6000942016058	2019.5687642534735	0.44894161164422447	1.4921979807480668E-4	1.4921979807525076E-4	1.4921979807525076E-4	1.492197980610399E-4	1.4921979811788333E-4	1.4921979811788333E-4	1.4921979811788333E-4	1.492197980041965E-4	1.492197980041965E-4	1.492197980041965E-4	1.492197980041965E-4	1.492197980041965E-4	1.492197980748622E-4	1.5591961918984656	11.03205270147184	7.110405177803543	17.90179496391778	7.805641211595571	32.80321223989267	0.7436986123730094	1.2267117480944307	1.160781675141834	12.485523876576963	2.8999057983942294	109.93123574652645	2401.0510583883556	1.5593454116965404	11.032201921269916	7.110554397601618	17.90194418371584	7.805790431393689	32.80336145969079	0.7438478321711273	1.226860967892435	1.1609308949398383	12.485673096374967	2.9000550181922335	109.93138496632446	2401.0512076081536	200.59317064092633	7.805641211595571	437986.82095294056	661.8057275008584	1.492197980566033E-4	1.4921979807480668E-4	2.1981652580864294E-27	4.688459510421765E-14	200.59331986072442	7.805790431393689	437986.82095294073	661.8057275008587	0.5	0.3272005301227685	0.5750610701717249	0.7879466076794233	0.641536103799146	0.937254259204483	0.7098798005068085	0.5755609416175258	0.3192514048011942	0.9548524169083599	0.17427898823929044	0.5	0.6761695717305365	0.0	-1.4952092008660505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-51.463352750016064	-52.958561950882114	0.0	-10.532201921269916	1	1.4921979807487119E-4	29.05059869013758	-4.0	0.8335024938544628
200	-4690.158386071873	-2580.322200031411	-2109.836186040462	2401.716186017587	1.9827273577454925	0.2443035023199074	0.2556964976800926	0.2500000001	0.2499999999	1.0E-7	1.0000000000000004E-7	-2109.836186040462	0.0	0.020371181905999392	-297.96267301134117	-209.93385662230918	3.315590101007956	-10.532201921269916	95.10542765251245	249.59805581628416	731.0726501278552	828.6966385403092	962.6859521844981	1243.2731390321076	1751.8118829597554	1806.1932894869537	1799.147348676412	2016.6584185085874	0.043962590612278474	3.315883452042742	-10.53190857023513	95.10572100354723	249.59834916731896	731.07294347889	828.696931891344	962.6862455355329	1243.2734323831423	1751.8121763107902	1806.1935828379885	1799.1476420274469	2016.6587118596221	0.044255941647064215	2.933510347857826E-4	2.933510347862267E-4	2.9335103478445035E-4	2.933510347986612E-4	2.933510347702395E-4	2.933510347702395E-4	2.933510347702395E-4	2.933510347702395E-4	2.933510347702395E-4	2.933510347702395E-4	2.933510347702395E-4	2.933510347702395E-4	2.93351034785741E-4	2.184116547957258	11.03190857023513	4.394278996452769	17.901650832681042	5.427056521109989	32.80306810865602	0.813754464467138	1.2265676168576647	28.687823689209836	7.306417162011485	39.352357972553136	112.84128814037786	2401.455744058353	2.184409898992044	11.032201921269916	4.3945723474875535	17.90194418371584	5.4273498721447595	32.80336145969079	0.8140478155019082	1.226860967892435	28.688117040244606	7.306710513046255	39.35265132358791	112.84158149141263	2401.456037409388	205.03277174468633	11.03190857023513	436435.1713086081	660.6324025572831	2.9335103477713675E-4	2.933510347702395E-4	9.40649221928003E-29	9.698707243380444E-15	205.0330650957211	11.032201921269916	436435.17130860797	660.632402557283	0.5	0.3272005301227685	0.5750610701717249	0.7879466076794233	0.4582365439583338	0.937254259204483	0.020218247321865834	0.5755609416175258	0.9039725678473666	0.5425659690941169	0.549977403798348	0.5121244409929296	0.6761695717305365	0.0	-2.618661497648626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-40.31949067910507	-42.9381521767537	0.0	-10.532201921269916	1	2.9335103478574125E-4	63.7031391310469	-4.993679373111728	0.8287299209786377
300	-4330.54028501106	-2226.5395926577985	-2104.000692353262	2401.716186017587	2.6223851580278748	0.2443035023199074	0.2556964976800926	0.2500000001	0.2499999999	1.0E-7	1.0000000000000001E-7	-2104.000692353262	0.0	0.016937487828766504	-259.77797972715007	-187.4086542363376	3.1414927059869173	-10.532201921269916	95.48464588120389	245.87247889704403	724.9943357475422	0.41895301960114906	962.1552638604567	1207.4764627032127	1738.0655560921005	1786.2424769418865	1794.9298915231827	1981.2954148543233	842.9045675019361	3.1428225779843917	-10.53087204927244	95.48597575320136	245.87380876904152	724.9956656195396	0.4202828915986234	962.1565937324541	1207.4777925752103	1738.066885964098	1786.243806813884	1794.9312213951803	1981.2967447263209	842.9058973739335	0.0013298719974743634	0.0013298719974752515	0.0013298719974699225	0.0013298719974841333	0.00132987199742729	0.0013298719974743634	0.00132987199742729	0.0013298719975409767	0.0013298719975409767	0.0013298719975409767	0.0013298719975409767	0.0013298719975409767	0.00132987199742729	2.3571774220156083	11.03087204927244	4.014024246798641	21.626191230958483	11.504334380460364	861.0797171084014	1.3434062675459018	37.02220742478971	42.43311403590201	27.25619318611598	43.56877860481973	148.20325527367913	1558.5941026260666	2.3585072940130827	11.032201921269916	4.015354118796111	21.627521102955967	11.505664252457791	861.0810469803988	1.344736139543329	37.023537296787254	42.43444390789955	27.25752305811352	43.57010847681727	148.20458514567667	1558.595432498064	213.07949029667896	27.25619318611598	217413.1923650474	466.2758758128576	0.001329871997489599	0.0013298719974752515	2.1610642226502638E-27	4.6487247957372824E-14	213.08082016867644	27.25752305811352	217413.1923650474	466.2758758128576	0.5256930504478909	0.3272005301227685	0.5750610701717249	0.9492322947338093	0.8544448612902164	0.4794943717687814	0.020218247321865834	0.6575497860557036	0.716569920748578	0.8475370243324537	0.549977403798348	0.5121244409929296	0.8271055832558492	0.0	-2.7115559877246205	0.0	0.0	0.0	-13.45323606385345	0.0	0.0	0.0	0.0	0.0	0.0	-33.988326941532044	-50.15311899311011	0.0	-10.532201921269916	1	0.0013298719974743894	70.83278807210719	-5.17589604909567	0.8203610741697229
400	-3949.4662653833034	-1855.0870319199735	-2094.37923346333	2401.716186017587	2.6223851580278748	0.2443035023199074	0.2556964976800926	0.2538327891416061	0.24616721085839388	1.0E-7	1.0E-7	-2094.37923346333	0.0	0.005787600492503313	-142.26631222121298	-176.2837586529286	3.1414927059869173	-10.532201921269916	82.77866089925061	173.54594127940612	715.2012453092108	0.41895301960114906	961.9432190003856	1176.7195760135078	1747.8090279581147	1779.8125320757788	1749.1904161586071	1981.2954148543233	757.0719029571013	3.1460566929716416	-10.527637934285192	82.78322488623533	173.55050526639084	715.2058092961955	0.42351700658587355	961.9477829873704	1176.7241400004925	1747.8135919450995	1779.8170960627635	1749.194980145592	1981.299978841308	757.0764669440861	0.0045639869847242664	0.0045639869847242664	0.004563986984720714	0.004563986984720714	0.0045639869847491354	0.0045639869847244885	0.0045639869847491354	0.0045639869847491354	0.0045639869847491354	0.0045639869847491354	0.0045639869847491354	0.0045639869847491354	0.0045639869847491354	2.3539433070283584	11.027637934285192	16.71677511376467	93.94949473360916	21.294190703804475	861.0764829934142	1.552217012629626	67.77585999950747	32.68640805490054	33.68290393723646	89.3050198544081	148.20002115869192	1644.423533055914	2.3585072940130827	11.032201921269916	16.72133910074939	93.95405872059388	21.298754690789224	861.0810469803989	1.556780999614375	67.78042398649222	32.69097204188529	33.68746792422121	89.30958384139285	148.20458514567667	1644.4280970428988	232.61880675839953	33.68290393723646	232379.66204387954	482.05773725133747	0.004563986984739041	0.0045639869847491354	1.7794249473458896E-28	1.3339508789104228E-14	232.62337074538428	33.68746792422121	232379.66204387948	482.0577372513374	0.5256930504478909	0.3272005301227685	0.33403843440879677	0.9492322947338093	0.3894129781748248	0.4794943717687814	0.020218247321865834	0.8560325589204143	0.9652653250971419	0.8475370243324537	0.5435228508067792	0.5121244409929296	0.8271055832558492	0.0	-3.2007326166599097	0.0	0.0	0.0	-17.954002305161715	0.0	0.0	0.0	0.0	0.0	0.0	-30.82244681208498	-51.977181733906605	0.0	-10.532201921269916	1	0.004563986984724461	90.58421028605706	-5.479512889510353	0.8203610741697229
500	-3333.973689391624	-1282.0251682146222	-2051.9485211770016	2401.716186017587	2.198335195072055	0.22538448513601403	0.274615514863986	0.26252560843651374	0.23747439156348624	1.0E-7	1.0E-7	-2051.9485211770016	0.0	0.005787600492503313	-143.15627188442826	-149.49143237409646	3.533560054454669	-9.2116024975644	-0.29852816460341	184.42480868660607	95.33816745334855	700.9796812919733	933.1175553128274	703.212966065135	1714.641193177282	1185.063634724338	1702.8846973042112	1879.6793270628918	1753.7731201087513	3.6043047235012793	-9.14085782851779	-0.22778349555679955	184.49555335565267	95.40891212239515	701.0504259610199	933.188299981874	703.2837107341816	1714.7119378463287	1185.1343793933847	1702.9554419732578	1879.7500717319385	1753.843864777798	0.07074466904661048	0.07074466904660959	0.07074466904661042	0.07074466904660426	0.07074466904660426	0.07074466904657584	0.07074466904657584	0.07074466904657584	0.07074466904668952	0.07074466904668952	0.07074466904668952	0.07074466904668952	0.07074466904668952	1.8956952764987207	9.64085782851779	99.72778349555679	83.00444664434733	641.0910878776049	160.44957403898013	30.311700018125975	541.2162892658184	65.78806215367126	628.3656206066153	135.54455802674215	249.74992826806147	647.656135222202	1.9664399455453312	9.7116024975644	99.7985281646034	83.07519131339393	641.1618325466515	160.5203187080267	30.38244468717255	541.287033934865	65.85880682271795	628.436365275662	135.61530269578884	249.82067293710816	647.7268798912487	253.4185952863648	135.54455802674215	67667.67303565546	260.13010789921157	0.07074466904663186	0.07074466904661042	2.4148305200359952E-27	4.914092510358342E-14	253.4893399554114	135.61530269578884	67667.67303565545	260.13010789921157	0.8220189987394996	0.28318054933257963	0.8937861965454478	0.8107640418782779	0.5887938359259867	0.022176400642332617	0.3262250945784251	0.9893165911433045	0.9723814103120154	0.8090845083687241	0.5435228508067792	0.8133092827053668	0.8182863495844553	0.0	-3.355352349339422	-6.74047104390747	0.0	-8.135546138094973	-0.9432659848187454	0.0	-11.732575018604454	0.0	-14.439096202490418	0.0	0.0	-5.223089605279835	-50.56939634253531	0.0	-9.2116024975644	1	0.07074466904661042	63.75055948120702	-5.479512889510353	0.7553896810665576
600	-3322.499383499878	-1271.8916626168407	-2050.6077208830375	2402.7250659921647	2.198335195072055	0.22538448513601403	0.274615514863986	0.26252560843651374	0.23747439156348624	1.0E-7	1.0E-7	-2050.6077208830375	0.0	0.005787600492503313	-143.5699919332917	-140.02031935110818	1.7092827362264258	-17.019078606336734	-0.43497428914369207	160.55059442731095	72.21192031627177	700.9796812919733	823.6364200751655	958.8062072389497	1538.0448696091082	1133.6965510078612	1677.3546526469518	1833.3509581749527	1651.252273066386	1.7800274052730363	-16.948333937290123	-0.36422962009708165	160.62133909635756	72.28266498531838	701.0504259610199	823.707164744212	958.8769519079963	1538.115614278155	1133.767295676908	1677.4253973159985	1833.4217028439994	1651.3230177354326	0.07074466904661048	0.07074466904661136	0.07074466904661042	0.07074466904660426	0.07074466904660426	0.07074466904657584	0.07074466904657584	0.07074466904657584	0.07074466904668952	0.07074466904668952	0.07074466904668952	0.07074466904668952	0.07074466904668952	3.719972594726964	17.448333937290123	99.86422962009708	106.87866090364244	664.2173350146816	160.44957403898013	139.79283525578796	285.6230480920037	242.3843857218451	679.7327043230921	161.07460268400155	296.07829715600064	750.1769822645674	3.7907172637735744	17.519078606336734	99.93497428914368	106.94940557268905	664.2880796837281	160.5203187080267	139.86357992483454	285.6937927610503	242.45513039089178	679.8034489921388	161.14534735304824	296.14904182504733	750.2477269336141	277.49545858513204	161.07460268400155	65489.71980045438	255.90959302154812	0.07074466904663199	0.07074466904661048	2.4084804425889996E-27	4.907627168590743E-14	277.5662032541787	161.14534735304824	65489.71980045439	255.90959302154812	0.8220189987394996	0.5098004204724006	0.526024448436877	0.8107640418782779	0.7377301839517527	0.022176400642332617	0.5180139155291342	0.9585431423096862	0.8741661722196742	0.8090845083687241	0.7182809477193814	0.9778819581569573	0.8666367419600953	0.0	-3.424564838448748	-5.014433342221224	0.0	-8.373612524051872	-4.560774300613064	-3.720604071821199	-5.940065600556118	0.0	-14.916691836245269	0.0	0.0	-3.8039399687877173	-49.754686482745214	0.0	-17.019078606336734	1	0.07074466904661042	30.287790006280158	-4.82942341921337	0.6992906632288327
700	-2655.420444909493	-608.3036694509292	-2047.1167754585642	2431.3801164761658	2.198335195072055	0.22538448513601403	0.274615514863986	0.26252560843651374	0.23747439156348624	1.0E-7	9.999999999999998E-8	-2047.1167754585642	0.0	0.003424022965611899	-120.3428734770789	-132.22559825707918	-17.229786705306793	-36.49905700028512	2.1451551148302737	166.0049242995447	18.28923759596701	696.9246329989344	735.1442729025101	866.2131781526728	1110.438529473657	1633.3379335907625	1620.0609057865775	1636.9016227329837	1505.636322509649	-15.370786556439818	-34.640056851418144	4.00415526369725	167.8639244484117	20.148237744833985	698.7836331478013	737.003273051377	868.0721783015397	1112.2975296225238	1635.1969337396295	1621.9199059354444	1638.7606228818506	1507.495322658516	1.8590001488669756	1.8590001488669756	1.859000148866976	1.8590001488669827	1.8590001488669756	1.8590001488669259	1.8590001488669259	1.8590001488669259	1.8590001488669259	1.8590001488669259	1.8590001488669259	1.8590001488669259	1.8590001488669259	20.870786556439818	35.140056851418144	95.49584473630276	99.6360755515883	716.351762255166	162.7163668521987	226.49672694862295	376.4278216984603	668.2024703774762	178.30306626037054	216.58009406455562	490.7393771181494	894.004677341484	22.729786705306793	36.99905700028512	97.35484488516974	101.49507570045529	718.210762404033	164.57536700106562	228.35572709748988	378.28682184732725	670.0614705263431	180.16206640923747	218.43909421342255	492.5983772670163	895.8636774903509	321.61270204709484	216.58009406455562	81163.6518887271	284.8923514043982	1.8590001488669456	1.8590001488669259	6.766960094600678E-28	2.6013381353835334E-14	323.47170219596177	218.43909421342255	81163.65188872708	284.89235140439814	0.5851216955064965	0.20396468413731095	0.5473046619234763	0.8107640418782779	0.8912843603408453	0.23778682646357685	0.7854199078193345	0.9585431423096862	0.8491150861352946	0.9518968109624241	0.7182809477193814	0.9749520331842301	0.3639982393505694	-3.551052934204502	-3.514417585699198	-1.5065715831459474	0.0	-8.415894998398446	-3.603098241424268	-3.936603434151175	-5.37017668394406	-3.8374553382618304	0.0	0.0	0.0	-16.206402929127904	-49.94167372835733	0.0	-36.49905700028512	1	1.8590001488669763	35.30600707806847	-4.82942341921337	0.7320377952871743
800	-2485.3921473465584	-437.8018380690909	-2047.5903092774677	2446.1623579370053	2.198335195072055	0.22538448513601403	0.274615514863986	0.26252560843651374	0.23747439156348624	1.0E-7	1.0000000000000001E-7	-2047.5903092774677	0.0	0.003424022965611899	-117.37277472000495	-135.52308089747655	-27.277309498423023	-46.392911578174335	1.537379203033086	242.13448510785068	23.14347547669568	731.5139030827354	743.8025702760959	867.6143201546579	1110.438529473657	1633.3379335907625	1610.7225924193503	1636.9016227329837	1509.0993873418026	-22.085147829753843	-41.200749909505156	6.729540871702265	247.32664677651985	28.33563714536486	736.7060647514046	748.9947319447651	872.8064818233271	1115.630691142326	1638.5300952594316	1615.9147540880194	1642.0937844016528	1514.2915490104717	5.192161668669179	5.192161668669179	5.192161668669179	5.192161668669172	5.192161668669179	5.1921616686692005	5.1921616686692005	5.1921616686692005	5.192161668669087	5.192161668669087	5.192161668669087	5.192161668669087	5.192161668669087	27.585147829753843	41.700749909505156	92.77045912829773	20.17335322348015	708.1643628546351	124.7939352485954	214.50526805523486	371.6935181766729	664.869308857674	174.96990474056838	222.58524591198056	487.4062155983472	887.2084509895283	32.77730949842302	46.892911578174335	97.96262079696692	25.36551489214932	713.3565245233043	129.9860969172646	219.69742972390407	376.8856798453421	670.0614705263431	180.16206640923747	227.77740758064965	492.5983772670163	892.4006126581974	310.6481477326364	214.50526805523486	83761.33895245093	289.4155126327041	5.192161668669148	5.192161668669179	2.6214454696575163E-27	5.120005341459632E-14	315.84030940130555	219.69742972390407	83761.33895245091	289.4155126327041	0.6152021675924836	0.04101845470563403	0.8347212091605222	0.8107640418782779	0.9123084001416	0.22869668308363866	0.7854199078193345	0.595154335588289	0.8491150861352946	0.9518968109624241	0.7023181195479002	0.9749520331842301	0.3639982393505694	-3.805611391549478	-1.5580020729456883	-1.5557565409447645	0.0	-8.996818667060971	-3.675338098379236	-5.667252152173808	-5.234037689151537	-4.281220289583743	0.0	0.0	0.0	-15.473297910740728	-50.24733481252996	0.0	-46.392911578174335	1	5.192161668669179	38.48196323343003	-4.4369880621731745	0.8167386943681312
900	-2475.855059086525	-428.81582564531107	-2047.0392334412143	2446.1623579370053	2.5716378656015277	0.22538448513601403	0.274615514863986	0.26252560843651374	0.23747439156348624	1.0E-7	9.999999999999996E-8	-2047.0392334412143	0.0	0.0031500398946643373	-113.6135438785107	-132.4081487283368	-27.277309498423023	-46.392911578174335	1.537379203033086	155.2294451631962	14.649510731349483	736.1781725072611	815.8235408730774	906.8924228375564	1225.0585178786973	1596.986789609237	1610.7225924193503	1514.0924477518945	1475.7961295900898	-22.085147829753843	-41.200749909505156	6.729540871702265	160.42160683186538	19.841672400018663	741.3703341759303	821.0157025417466	912.0845845062256	1230.2506795473664	1602.178951277906	1615.9147540880194	1519.2846094205636	1480.9882912587589	5.192161668669179	5.192161668669179	5.192161668669179	5.192161668669172	5.192161668669179	5.1921616686692005	5.1921616686692005	5.1921616686692005	5.192161668669087	5.192161668669087	5.192161668669087	5.192161668669087	5.192161668669087	27.585147829753843	41.700749909505156	92.77045912829773	107.07839316813462	716.6583275999814	120.12966582406966	142.48429745825342	332.4154154937744	550.2493204526336	211.32104872209402	222.58524591198056	610.2153905794364	920.5117087412411	32.77730949842302	46.892911578174335	97.96262079696692	112.2705548368038	721.8504892686506	125.32182749273886	147.67645912692262	337.6075771624436	555.4414821213027	216.5132103907631	227.77740758064965	615.4075522481055	925.7038704099102	315.05424390916585	211.32104872209402	83976.211404613	289.78649279187084	5.192161668669148	5.192161668669179	2.6214454696575163E-27	5.120005341459632E-14	320.246405577835	216.5132103907631	83976.21140461297	289.7864927918708	0.6152021675924836	0.04101845470563403	0.8347212091605222	0.8764185700018811	0.9123084001416	0.05079700629310646	0.5135165910308027	0.9261824902782564	0.4892805041636814	0.9924567470311372	0.7023181195479002	0.05435682431238131	0.3639982393505694	-4.268828152943752	-1.4660993856617843	-1.302335775287237	0.0	-10.46244522290834	-2.7699086514673334	-4.719033399869061	-6.118842272773808	-5.365768731991849	0.0	0.0	-7.055812778696161	-4.374952563329174	-47.904026934928496	0.0	-46.392911578174335	1	5.192161668669179	42.26804561810201	-5.236434240030465	0.7104239862710271
